timestamp,time_readable,x,y
1744732209.5014155,2025-04-15 11:50:09.501415,nan,nan
1744732209.504889,2025-04-15 11:50:09.504889,nan,nan
1744732209.555838,2025-04-15 11:50:09.555838,nan,nan
1744732209.555838,2025-04-15 11:50:09.555838,nan,nan
1744732209.555838,2025-04-15 11:50:09.555838,nan,nan
1744732209.5790808,2025-04-15 11:50:09.579081,nan,nan
1744732209.589184,2025-04-15 11:50:09.589184,nan,nan
1744732209.608617,2025-04-15 11:50:09.608617,nan,nan
1744732209.6228118,2025-04-15 11:50:09.622812,nan,nan
1744732209.6400044,2025-04-15 11:50:09.640004,nan,nan
1744732209.6569476,2025-04-15 11:50:09.656948,0.2943180650472641,0.9106858372688293
1744732209.679068,2025-04-15 11:50:09.679068,0.2714558243751526,0.9197477698326111
1744732209.6888146,2025-04-15 11:50:09.688815,0.27634474635124207,0.9255978465080261
1744732209.7085521,2025-04-15 11:50:09.708552,0.2762593924999237,0.9273523390293121
1744732209.722752,2025-04-15 11:50:09.722752,0.3242657780647278,0.9469287395477295
1744732209.739302,2025-04-15 11:50:09.739302,nan,nan
1744732209.7563198,2025-04-15 11:50:09.756320,nan,nan
1744732209.779131,2025-04-15 11:50:09.779131,nan,nan
1744732209.7893734,2025-04-15 11:50:09.789373,nan,nan
1744732209.806534,2025-04-15 11:50:09.806534,nan,nan
1744732209.8230999,2025-04-15 11:50:09.823100,0.8001316487789154,0.9694420099258423
1744732209.8392024,2025-04-15 11:50:09.839202,nan,nan
1744732209.855489,2025-04-15 11:50:09.855489,nan,nan
1744732209.8806424,2025-04-15 11:50:09.880642,0.8214343190193176,0.967398077249527
1744732209.8940718,2025-04-15 11:50:09.894072,nan,nan
1744732209.9119132,2025-04-15 11:50:09.911913,nan,nan
1744732209.9284945,2025-04-15 11:50:09.928494,nan,nan
1744732209.9421608,2025-04-15 11:50:09.942161,nan,nan
1744732209.9553041,2025-04-15 11:50:09.955304,nan,nan
1744732209.9791715,2025-04-15 11:50:09.979172,nan,nan
1744732209.9906623,2025-04-15 11:50:09.990662,nan,nan
1744732210.0056453,2025-04-15 11:50:10.005645,nan,nan
1744732210.0225134,2025-04-15 11:50:10.022513,nan,nan
1744732210.0384686,2025-04-15 11:50:10.038469,nan,nan
1744732210.0591438,2025-04-15 11:50:10.059144,nan,nan
1744732210.0792656,2025-04-15 11:50:10.079266,nan,nan
1744732210.0956507,2025-04-15 11:50:10.095651,nan,nan
1744732210.1126766,2025-04-15 11:50:10.112677,nan,nan
1744732210.1235547,2025-04-15 11:50:10.123555,nan,nan
1744732210.141891,2025-04-15 11:50:10.141891,nan,nan
1744732210.1586933,2025-04-15 11:50:10.158693,nan,nan
1744732210.179199,2025-04-15 11:50:10.179199,nan,nan
1744732210.1925654,2025-04-15 11:50:10.192565,nan,nan
1744732210.2087572,2025-04-15 11:50:10.208757,nan,nan
1744732210.2229476,2025-04-15 11:50:10.222948,nan,nan
1744732210.2391,2025-04-15 11:50:10.239100,nan,nan
1744732210.2564714,2025-04-15 11:50:10.256471,nan,nan
1744732210.2791667,2025-04-15 11:50:10.279167,nan,nan
1744732210.2901726,2025-04-15 11:50:10.290173,nan,nan
1744732210.3096948,2025-04-15 11:50:10.309695,nan,nan
1744732210.3228045,2025-04-15 11:50:10.322804,nan,nan
1744732210.3413825,2025-04-15 11:50:10.341383,nan,nan
1744732210.3560872,2025-04-15 11:50:10.356087,nan,nan
1744732210.3794718,2025-04-15 11:50:10.379472,nan,nan
1744732210.3896623,2025-04-15 11:50:10.389662,nan,nan
1744732210.4061148,2025-04-15 11:50:10.406115,nan,nan
1744732210.4232328,2025-04-15 11:50:10.423233,nan,nan
1744732210.4417198,2025-04-15 11:50:10.441720,nan,nan
1744732210.475115,2025-04-15 11:50:10.475115,nan,nan
1744732210.491917,2025-04-15 11:50:10.491917,nan,nan
1744732210.5232954,2025-04-15 11:50:10.523295,nan,nan
1744732210.5381618,2025-04-15 11:50:10.538162,nan,nan
1744732210.5381618,2025-04-15 11:50:10.538162,nan,nan
1744732210.5549142,2025-04-15 11:50:10.554914,nan,nan
1744732210.5617945,2025-04-15 11:50:10.561795,nan,nan
1744732210.580031,2025-04-15 11:50:10.580031,nan,nan
1744732210.5953674,2025-04-15 11:50:10.595367,nan,nan
1744732210.6214273,2025-04-15 11:50:10.621427,nan,nan
1744732210.6383088,2025-04-15 11:50:10.638309,nan,nan
1744732210.6547947,2025-04-15 11:50:10.654795,nan,nan
1744732210.6714425,2025-04-15 11:50:10.671443,nan,nan
1744732210.6880765,2025-04-15 11:50:10.688076,nan,nan
1744732210.695509,2025-04-15 11:50:10.695509,nan,nan
1744732210.7214866,2025-04-15 11:50:10.721487,nan,nan
1744732210.7381709,2025-04-15 11:50:10.738171,nan,nan
1744732210.746199,2025-04-15 11:50:10.746199,nan,nan
1744732210.7715702,2025-04-15 11:50:10.771570,nan,nan
1744732210.780276,2025-04-15 11:50:10.780276,nan,nan
1744732210.795723,2025-04-15 11:50:10.795723,nan,nan
1744732210.8113956,2025-04-15 11:50:10.811396,nan,nan
1744732210.8287132,2025-04-15 11:50:10.828713,nan,nan
1744732210.845162,2025-04-15 11:50:10.845162,nan,nan
1744732210.8622708,2025-04-15 11:50:10.862271,nan,nan
1744732210.888746,2025-04-15 11:50:10.888746,nan,nan
1744732210.9049108,2025-04-15 11:50:10.904911,nan,nan
1744732210.9127853,2025-04-15 11:50:10.912785,nan,nan
1744732210.938254,2025-04-15 11:50:10.938254,nan,nan
1744732210.954905,2025-04-15 11:50:10.954905,nan,nan
1744732210.971594,2025-04-15 11:50:10.971594,nan,nan
1744732210.9883926,2025-04-15 11:50:10.988393,nan,nan
1744732211.005134,2025-04-15 11:50:11.005134,nan,nan
1744732211.0218863,2025-04-15 11:50:11.021886,nan,nan
1744732211.0571618,2025-04-15 11:50:11.057162,nan,nan
1744732211.0571618,2025-04-15 11:50:11.057162,nan,nan
1744732211.0745819,2025-04-15 11:50:11.074582,nan,nan
1744732211.1119635,2025-04-15 11:50:11.111964,nan,nan
1744732211.1119635,2025-04-15 11:50:11.111964,nan,nan
1744732211.1119635,2025-04-15 11:50:11.111964,nan,nan
1744732211.1288085,2025-04-15 11:50:11.128808,nan,nan
1744732211.1402302,2025-04-15 11:50:11.140230,nan,nan
1744732211.1569574,2025-04-15 11:50:11.156957,nan,nan
1744732211.1737325,2025-04-15 11:50:11.173733,0.9485747814178467,0.5424441695213318
1744732211.1905572,2025-04-15 11:50:11.190557,0.930743932723999,0.5842829048633575
1744732211.2068079,2025-04-15 11:50:11.206808,0.9425408244132996,0.5641161501407623
1744732211.223756,2025-04-15 11:50:11.223756,0.9422903954982758,0.5707069337368011
1744732211.2404974,2025-04-15 11:50:11.240497,0.9492286145687103,0.5734524726867676
1744732211.261318,2025-04-15 11:50:11.261318,0.9513119459152222,0.565702885389328
1744732211.2810853,2025-04-15 11:50:11.281085,0.9494038820266724,0.5699288845062256
1744732211.2904408,2025-04-15 11:50:11.290441,0.9514387547969818,0.5633785724639893
1744732211.3112218,2025-04-15 11:50:11.311222,0.9428308010101318,0.5678672790527344
1744732211.323801,2025-04-15 11:50:11.323801,0.9414354264736176,0.569829910993576
1744732211.3404891,2025-04-15 11:50:11.340489,0.9401957988739014,0.5742287337779999
1744732211.3572302,2025-04-15 11:50:11.357230,0.9440827071666718,0.5657802224159241
1744732211.3811476,2025-04-15 11:50:11.381148,0.9439757168292999,0.5708920061588287
1744732211.3903093,2025-04-15 11:50:11.390309,0.9392590522766113,0.5641639232635498
1744732211.4083061,2025-04-15 11:50:11.408306,0.937334418296814,0.5655106008052826
1744732211.424303,2025-04-15 11:50:11.424303,0.9449838995933533,0.5642950534820557
1744732211.442327,2025-04-15 11:50:11.442327,0.9475786089897156,0.5609407126903534
1744732211.456596,2025-04-15 11:50:11.456596,0.9392969012260437,0.5601086616516113
1744732211.4811409,2025-04-15 11:50:11.481141,0.944335401058197,0.5647262334823608
1744732211.4903562,2025-04-15 11:50:11.490356,0.945326954126358,0.5680188536643982
1744732211.5070615,2025-04-15 11:50:11.507061,0.9412724673748016,0.5556819438934326
1744732211.5240366,2025-04-15 11:50:11.524037,0.9367372393608093,0.5649569928646088
1744732211.541479,2025-04-15 11:50:11.541479,0.936281830072403,0.5573098957538605
1744732211.5573356,2025-04-15 11:50:11.557336,0.9438572227954865,0.5541266202926636
1744732211.5755923,2025-04-15 11:50:11.575592,0.9413600862026215,0.5529339611530304
1744732211.5901616,2025-04-15 11:50:11.590162,0.9360237717628479,0.5575769245624542
1744732211.6136065,2025-04-15 11:50:11.613606,0.9332565367221832,0.563421905040741
