start_timestamp,end_timestamp,start_time_readable,end_time_readable,x,y
1744730690.7958193,1744730690.884678,2025-04-15 11:24:50.795819,2025-04-15 11:24:50.884678,,
1744730690.9803889,1744730691.0340316,2025-04-15 11:24:50.980389,2025-04-15 11:24:51.034032,,
1744730691.1058698,1744730691.1183825,2025-04-15 11:24:51.105870,2025-04-15 11:24:51.118382,,
1744730691.2312331,1744730691.268674,2025-04-15 11:24:51.231233,2025-04-15 11:24:51.268674,,
1744730691.3811011,1744730691.403856,2025-04-15 11:24:51.381101,2025-04-15 11:24:51.403856,,
1744730691.4809554,1744730691.5040514,2025-04-15 11:24:51.480955,2025-04-15 11:24:51.504051,,
1744730691.5474136,1744730691.5474136,2025-04-15 11:24:51.547414,2025-04-15 11:24:51.547414,0.3923170864582062,0.9874954521656036
1744730691.6645596,1744730691.7298472,2025-04-15 11:24:51.664560,2025-04-15 11:24:51.729847,,
1744730691.8683426,1744730691.8871174,2025-04-15 11:24:51.868343,2025-04-15 11:24:51.887117,,
1744730691.9311872,1744730691.946726,2025-04-15 11:24:51.931187,2025-04-15 11:24:51.946726,,
1744730692.0472682,1744730692.0472682,2025-04-15 11:24:52.047268,2025-04-15 11:24:52.047268,0.4989599585533142,0.9796036183834076
1744730692.1208804,1744730692.1350777,2025-04-15 11:24:52.120880,2025-04-15 11:24:52.135078,0.4912095367908478,0.9776949137449265
1744730692.2055423,1744730692.2055423,2025-04-15 11:24:52.205542,2025-04-15 11:24:52.205542,0.5224601030349731,0.972681313753128
1744730692.271182,1744730692.3055885,2025-04-15 11:24:52.271182,2025-04-15 11:24:52.305588,,
1744730692.3308153,1744730692.3485944,2025-04-15 11:24:52.330815,2025-04-15 11:24:52.348594,,
1744730692.4057405,1744730692.431846,2025-04-15 11:24:52.405740,2025-04-15 11:24:52.431846,,
1744730692.4657192,1744730692.4657192,2025-04-15 11:24:52.465719,2025-04-15 11:24:52.465719,0.5171352326869965,0.9860125184059144
1744730692.6298587,1744730692.6298587,2025-04-15 11:24:52.629859,2025-04-15 11:24:52.629859,0.5176779925823212,0.9857868552207948
1744730692.6638422,1744730692.6638422,2025-04-15 11:24:52.663842,2025-04-15 11:24:52.663842,0.5181534886360168,0.9827966392040252
1744730692.764337,1744730692.7810118,2025-04-15 11:24:52.764337,2025-04-15 11:24:52.781012,,
1744730693.006591,1744730693.006591,2025-04-15 11:24:53.006591,2025-04-15 11:24:53.006591,0.5219769775867462,0.9839038848876952
1744730693.0862782,1744730693.0862782,2025-04-15 11:24:53.086278,2025-04-15 11:24:53.086278,0.5217150151729584,0.975543648004532
1744730693.1397476,1744730693.1397476,2025-04-15 11:24:53.139748,2025-04-15 11:24:53.139748,0.5171400904655457,0.9824015498161316
1744730693.1850152,1744730693.1850152,2025-04-15 11:24:53.185015,2025-04-15 11:24:53.185015,0.5222377777099609,0.977750599384308
1744730693.382286,1744730693.4070606,2025-04-15 11:24:53.382286,2025-04-15 11:24:53.407061,,
1744730693.446576,1744730693.446576,2025-04-15 11:24:53.446576,2025-04-15 11:24:53.446576,0.5387232005596161,0.9854507744312286
1744730693.5129423,1744730693.5129423,2025-04-15 11:24:53.512942,2025-04-15 11:24:53.512942,0.5403070747852325,0.9870003461837769
1744730693.5800884,1744730693.5800884,2025-04-15 11:24:53.580088,2025-04-15 11:24:53.580088,0.6473728120326996,0.968518078327179
1744730693.7469337,1744730693.76394,2025-04-15 11:24:53.746934,2025-04-15 11:24:53.763940,,
1744730693.8307438,1744730693.8468978,2025-04-15 11:24:53.830744,2025-04-15 11:24:53.846898,,
1744730693.8804772,1744730693.8972754,2025-04-15 11:24:53.880477,2025-04-15 11:24:53.897275,,
1744730694.0641253,1744730694.0805645,2025-04-15 11:24:54.064125,2025-04-15 11:24:54.080564,,
1744730694.1878283,1744730694.213877,2025-04-15 11:24:54.187828,2025-04-15 11:24:54.213877,,
1744730694.283084,1744730694.283084,2025-04-15 11:24:54.283084,2025-04-15 11:24:54.283084,0.6331339478492737,0.9799272418022156
1744730694.347242,1744730694.3700988,2025-04-15 11:24:54.347242,2025-04-15 11:24:54.370099,,
1744730694.4810677,1744730694.514842,2025-04-15 11:24:54.481068,2025-04-15 11:24:54.514842,,
1744730694.5475388,1744730694.6150692,2025-04-15 11:24:54.547539,2025-04-15 11:24:54.615069,,
1744730694.6662714,1744730694.7482798,2025-04-15 11:24:54.666271,2025-04-15 11:24:54.748280,,
1744730695.2159653,1744730695.2319076,2025-04-15 11:24:55.215965,2025-04-15 11:24:55.231908,,
1744730695.300928,1744730695.3649447,2025-04-15 11:24:55.300928,2025-04-15 11:24:55.364945,,
1744730695.6171565,1744730695.6171565,2025-04-15 11:24:55.617157,2025-04-15 11:24:55.617157,0.8014152348041534,0.9637090861797332
1744730695.6654563,1744730695.6820326,2025-04-15 11:24:55.665456,2025-04-15 11:24:55.682033,,
1744730695.766019,1744730695.781974,2025-04-15 11:24:55.766019,2025-04-15 11:24:55.781974,,
1744730695.917827,1744730695.9319017,2025-04-15 11:24:55.917827,2025-04-15 11:24:55.931902,,
1744730695.985516,1744730695.998891,2025-04-15 11:24:55.985516,2025-04-15 11:24:55.998891,,
1744730696.1672964,1744730696.1822338,2025-04-15 11:24:56.167296,2025-04-15 11:24:56.182234,,
1744730696.6193144,1744730696.6193144,2025-04-15 11:24:56.619314,2025-04-15 11:24:56.619314,0.9515677988529204,0.5380506217479706
1744730696.649378,1744730696.6857018,2025-04-15 11:24:56.649378,2025-04-15 11:24:56.685702,0.9510555466016134,0.5363985399405161
