start_timestamp,end_timestamp,start_time_readable,end_time_readable,x,y
1744814273.017101,1744814273.1132822,2025-04-16 10:37:53.017101,2025-04-16 10:37:53.113282,,
1744814273.447205,1744814273.447205,2025-04-16 10:37:53.447205,2025-04-16 10:37:53.447205,0.53127521276474,0.233400747179985
1744814273.5461504,1744814273.5461504,2025-04-16 10:37:53.546150,2025-04-16 10:37:53.546150,0.5351828634738922,0.2447988614439964
1744814273.6469705,1744814273.6469705,2025-04-16 10:37:53.646971,2025-04-16 10:37:53.646971,0.6008172035217285,0.2186097800731659
1744814273.829298,1744814273.829298,2025-04-16 10:37:53.829298,2025-04-16 10:37:53.829298,0.5978911519050598,0.229258231818676
1744814273.8633437,1744814273.8633437,2025-04-16 10:37:53.863344,2025-04-16 10:37:53.863344,0.5979982912540436,0.2215639278292656
1744814274.1959045,1744814274.1959045,2025-04-16 10:37:54.195904,2025-04-16 10:37:54.195904,0.6180788576602936,0.2334518283605575
1744814274.3132591,1744814274.3292606,2025-04-16 10:37:54.313259,2025-04-16 10:37:54.329261,0.5930834859609604,0.241429541260004
1744814274.4801514,1744814274.4801514,2025-04-16 10:37:54.480151,2025-04-16 10:37:54.480151,0.5984515249729156,0.2336662411689758
1744814274.5455844,1744814274.5455844,2025-04-16 10:37:54.545584,2025-04-16 10:37:54.545584,0.5956947505474091,0.2400261014699936
1744814274.630118,1744814274.630118,2025-04-16 10:37:54.630118,2025-04-16 10:37:54.630118,0.5950833559036255,0.2336423173546791
1744814274.8631768,1744814274.8631768,2025-04-16 10:37:54.863177,2025-04-16 10:37:54.863177,0.6239782571792603,0.2236350402235984
1744814274.9303253,1744814274.963112,2025-04-16 10:37:54.930325,2025-04-16 10:37:54.963112,0.6247155467669169,0.22865864634513847
1744814275.0127103,1744814275.0127103,2025-04-16 10:37:55.012710,2025-04-16 10:37:55.012710,0.6259656250476837,0.2302725464105606
1744814275.2627532,1744814275.2627532,2025-04-16 10:37:55.262753,2025-04-16 10:37:55.262753,0.5990464985370636,0.2301873862743377
1744814275.3301263,1744814275.3301263,2025-04-16 10:37:55.330126,2025-04-16 10:37:55.330126,0.6024911999702454,0.232803925871849
1744814275.7961826,1744814275.7961826,2025-04-16 10:37:55.796183,2025-04-16 10:37:55.796183,0.6244569718837738,0.2339556366205215
1744814276.113926,1744814276.113926,2025-04-16 10:37:56.113926,2025-04-16 10:37:56.113926,0.3418869078159332,0.1990589499473571
1744814276.2801504,1744814276.3131237,2025-04-16 10:37:56.280150,2025-04-16 10:37:56.313124,0.30693250894546503,0.19885563353697455
1744814276.613042,1744814276.6632435,2025-04-16 10:37:56.613042,2025-04-16 10:37:56.663244,0.3886529244482517,0.20161376334726808
1744814276.729301,1744814276.7461796,2025-04-16 10:37:56.729301,2025-04-16 10:37:56.746180,0.3870793879032135,0.196790125221014
1744814276.9132943,1744814276.9132943,2025-04-16 10:37:56.913294,2025-04-16 10:37:56.913294,0.3508376479148865,0.2063052281737327
1744814277.113288,1744814277.1469748,2025-04-16 10:37:57.113288,2025-04-16 10:37:57.146975,0.29505599041779834,0.19959712028503418
1744814277.246135,1744814277.246135,2025-04-16 10:37:57.246135,2025-04-16 10:37:57.246135,0.2995291650295257,0.2032924816012382
1744814277.2979703,1744814277.3143077,2025-04-16 10:37:57.297970,2025-04-16 10:37:57.314308,0.298948772251606,0.20389948040246958
1744814277.363237,1744814277.3800116,2025-04-16 10:37:57.363237,2025-04-16 10:37:57.380012,0.29748473316431046,0.2081755995750427
1744814277.4961486,1744814277.4961486,2025-04-16 10:37:57.496149,2025-04-16 10:37:57.496149,0.3622566759586334,0.1937022060155868
1744814277.5463088,1744814277.5463088,2025-04-16 10:37:57.546309,2025-04-16 10:37:57.546309,0.361749455332756,0.2069984897971153
1744814277.679241,1744814277.695762,2025-04-16 10:37:57.679241,2025-04-16 10:37:57.695762,0.3592015653848648,0.18671673536300654
1744814277.729973,1744814277.729973,2025-04-16 10:37:57.729973,2025-04-16 10:37:57.729973,0.3605969250202179,0.1909011229872703
1744814277.7633705,1744814277.7633705,2025-04-16 10:37:57.763371,2025-04-16 10:37:57.763371,0.3618191927671432,0.1965619251132011
1744814277.8292134,1744814277.8292134,2025-04-16 10:37:57.829213,2025-04-16 10:37:57.829213,0.3607633113861084,0.1989834904670715
1744814277.9301217,1744814277.9301217,2025-04-16 10:37:57.930122,2025-04-16 10:37:57.930122,0.358880802989006,0.1940250545740127
1744814278.2301126,1744814278.2301126,2025-04-16 10:37:58.230113,2025-04-16 10:37:58.230113,0.3611626923084259,0.2103829309344291
1744814278.2791626,1744814278.2974453,2025-04-16 10:37:58.279163,2025-04-16 10:37:58.297445,0.3611424118280411,0.21168079599738115
1744814278.4455068,1744814278.4455068,2025-04-16 10:37:58.445507,2025-04-16 10:37:58.445507,0.3585483282804489,0.1985205039381981
1744814278.679268,1744814278.679268,2025-04-16 10:37:58.679268,2025-04-16 10:37:58.679268,0.4132700562477112,0.2989968508481979
1744814278.7461045,1744814278.7461045,2025-04-16 10:37:58.746104,2025-04-16 10:37:58.746104,0.3986502289772033,0.353664681315422
1744814278.878332,1744814278.9633908,2025-04-16 10:37:58.878332,2025-04-16 10:37:58.963391,,
1744814279.1968343,1744814279.1968343,2025-04-16 10:37:59.196834,2025-04-16 10:37:59.196834,0.152372620999813,0.8198373317718506
1744814279.379636,1744814279.3964102,2025-04-16 10:37:59.379636,2025-04-16 10:37:59.396410,0.14306064322590825,0.7725354880094528
