start_timestamp,end_timestamp,x,y
1744745603.549529,1744745603.598848,,
1744745603.6306484,1744745603.6306484,0.351246640086174,0.3933343440294266
1744745604.2468944,1744745604.2468944,0.1251346804201603,0.9714335203170776
1744745604.3475635,1744745604.3475635,0.5459643006324768,0.952178120613098
1744745604.5805988,1744745604.5805988,0.5968597233295441,0.9545461535453796
1744745604.695677,1744745604.8308923,,
1744745604.9806209,1744745605.064073,,
1744745605.1806843,1744745605.1974075,,
1744745605.2638707,1744745605.2808862,,
1744745605.5469527,1744745605.5469527,0.5346700549125671,0.993235558271408
1744745605.5806444,1744745605.5806444,0.536042720079422,0.9873855710029602
1744745605.6300757,1744745605.6300757,0.5331025421619415,0.9862383902072906
1744745605.9637637,1744745605.9637637,0.5828319489955902,0.957066535949707
1744745605.9966831,1744745605.9966831,0.584094226360321,0.952684223651886
1744745606.114037,1744745606.114037,0.5823533833026886,0.9569116830825806
1744745606.146803,1744745606.163809,0.5837661176919937,0.9584016054868698
1744745606.2137525,1744745606.246945,0.5843358337879181,0.9603068033854166
1744745606.2809532,1744745606.2975252,0.5838604271411896,0.9681877493858337
1744745606.4806197,1744745606.4806197,0.5857405364513397,0.9714820683002472
1744745606.54592,1744745606.663672,,
1744745607.063866,1744745607.0974607,,
1744745607.1966348,1744745607.2979057,,
1744745607.9640713,1744745607.9965982,0.5789430141448975,0.9715904295444489
1744745608.046706,1744745608.1635766,,
1744745608.430833,1744745608.430833,0.0941176116466522,0.1741287559270858
1744745608.5471642,1744745608.5471642,0.0927091240882873,0.1767865642905235
1744745608.697045,1744745608.76447,,
1744745608.8305526,1744745608.8305526,0.0928095243871212,0.1606253907084465
1744745608.9803448,1744745608.9803448,0.0945019051432609,0.1607845462858677
1744745609.0288846,1744745609.1802287,,
1744745609.2137375,1744745609.230729,,
1744745609.280427,1744745609.3137848,,
1744745609.3466592,1744745609.3639262,,
1744745609.4137783,1744745609.6141975,,
1744745609.7638369,1744745609.7638369,0.1804115548729896,0.1165020754560828
1744745609.8303814,1744745609.8473194,,
1744745609.8809557,1744745609.8809557,0.1740961819887161,0.1247229101136326
1744745610.063974,1744745610.081065,,
1744745610.213615,1744745610.3640225,,
1744745610.4306068,1744745610.4472728,0.14897466078400606,0.14866665564477438
1744745610.4806793,1744745610.4971058,,
1744745610.6307538,1744745610.6475656,,
1744745610.7805605,1744745610.797622,,
1744745610.9138968,1744745610.9307098,,
1744745611.0306053,1744745611.0306053,0.1354738026857376,0.1646881103515625
1744745611.297125,1744745611.297125,0.0834470689296722,0.1571709178388118
1744745611.4463582,1744745611.6307971,,
1744745611.6637473,1744745611.680761,,
1744745611.797013,1744745611.8309646,,
1744745612.1804805,1744745612.1975176,0.1057267896831035,0.16779487766325468
1744745612.231867,1744745612.231867,0.1037042960524559,0.1700695939362049
1744745612.3476286,1744745612.3476286,0.0991349555552005,0.1636807546019554
1744745612.380408,1744745612.397488,,
1744745612.4955957,1744745612.6639073,,
1744745612.714623,1744745612.714623,0.1035448983311653,0.1970634758472442
1744745612.8136902,1744745612.8307498,,
1744745612.9807897,1744745612.9807897,0.0914621539413929,0.2094679325819015
1744745613.0308824,1744745613.0467243,0.09272346459329125,0.20514738187193865
1744745613.213915,1744745613.281457,,
1744745613.4968092,1744745613.5644145,,
1744745613.6307914,1744745613.6471908,,
1744745613.6797245,1744745613.9304862,,
1744745614.0809596,1744745614.0809596,0.2295143827795982,0.1163183017633855
1744745614.2299025,1744745614.2475448,,
1744745614.4138093,1744745614.430918,,
1744745614.4805932,1744745614.5138066,,
1744745614.547135,1744745614.5807097,,
1744745614.665653,1744745614.7138207,,
1744745614.8817966,1744745614.8817966,0.25015489757061,0.1465816907584667
1744745615.0308096,1744745615.0308096,0.2488197162747383,0.1502158939838409
