Frame ID,Hand ID,Hand Type,Palm Position X,Palm Position Y,Palm Position Z,Hand Shape,TipPosition X,TipPosition Y,TipPosition Z,PointDirection X,PointDirection Y,PointDirection Z,Intersection X,Intersection Y,Intersection Z
1395,4,left,-43.815239,287.709106,-42.938175,Index-Point,-37.734268,292.037415,-94.745621,-1.392651,-8.772034,-32.440109,-47.919575,227.882172,-332.000000
1396,4,left,-41.436398,286.748474,-42.490974,Index-Point,-35.417149,291.096191,-94.938278,-1.482475,-8.782898,-33.101192,-46.034233,228.195465,-332.000000
1397,4,left,-38.761230,285.467590,-41.765709,Index-Point,-32.752781,289.858887,-95.107155,-1.481123,-8.774963,-33.944466,-43.089294,228.619858,-332.000031
1398,4,left,-35.972675,284.116821,-41.071339,Index-Point,-29.197771,288.820740,-94.755211,-0.622686,-8.436646,-34.169090,-33.521244,230.242935,-332.000000
1399,4,left,-32.767857,282.223297,-40.250851,Index-Point,-25.311380,286.419739,-93.338409,-0.043259,-8.925110,-33.497173,-25.619591,222.829865,-332.000000
1400,4,left,-28.951166,279.617889,-39.651897,Index-Point,-20.962551,283.224731,-91.313515,0.316582,-9.433990,-32.010357,-18.582167,212.290375,-332.000000
1401,4,left,-24.736540,276.689697,-39.113945,Index-Point,-15.460392,279.303314,-87.896324,1.395910,-10.352661,-29.159679,-3.774845,192.638351,-332.000000
1402,4,left,-20.218716,273.260498,-38.525406,Index-Point,-9.832599,275.397339,-86.011269,2.377455,-10.830139,-27.871685,11.150241,179.813141,-332.000000
1403,4,left,-17.365913,270.011871,-37.786472,Index-Point,-5.686564,272.325409,-84.191277,3.560536,-10.477173,-26.712219,27.344456,175.128891,-332.000000
1637,4,left,-47.476265,265.759644,-37.513039,Index-Point,-43.796047,274.431305,-85.467270,1.327538,-6.170044,-29.456329,-32.685310,222.791550,-332.000000
2068,5,left,-7.413492,275.707336,-10.395753,Index-Point,-11.472204,303.276550,-62.706306,11.861666,26.541687,-30.147110,94.483955,540.364258,-332.000000
2069,5,left,-7.281063,276.033691,-10.300555,Index-Point,-11.383492,303.470703,-63.095078,11.804324,26.432526,-30.606682,92.327217,535.702209,-332.000000
2070,5,left,-7.145105,276.315948,-10.191390,Index-Point,-11.302907,303.594849,-63.493824,11.729077,26.284515,-31.082066,90.020134,530.656799,-332.000000
2071,5,left,-6.989642,276.550781,-10.109789,Index-Point,-11.157008,303.670258,-63.803299,11.693818,26.140503,-31.442490,88.588394,526.642334,-332.000000
2072,5,left,-6.816811,276.664185,-10.057497,Index-Point,-11.039486,303.523926,-64.538841,11.611980,25.907196,-32.193874,85.430832,518.756409,-332.000000
2073,5,left,-6.679798,276.675201,-10.044988,Index-Point,-10.965605,303.330170,-65.070717,11.530764,25.732452,-32.709919,83.131187,513.319824,-332.000000
2074,5,left,-6.595029,276.612213,-10.016811,Index-Point,-10.883933,303.121735,-65.463860,11.514144,25.593384,-33.111191,81.801811,509.141541,-332.000000
2075,5,left,-6.546139,276.547058,-10.018672,Index-Point,-10.849728,302.975128,-65.701767,11.483814,25.528198,-33.333511,80.893356,506.917450,-332.000000
2076,5,left,-6.522743,276.425964,-10.038469,Index-Point,-10.858497,302.788910,-66.074364,11.434108,25.467163,-33.668728,79.451485,503.936157,-332.000000
2077,5,left,-6.578616,276.357697,-10.094803,Index-Point,-10.981401,302.557281,-66.755783,11.349085,25.301331,-34.278454,76.836998,498.337158,-332.000000
2078,5,left,-6.649786,276.360199,-10.157317,Index-Point,-11.142396,302.432739,-67.185822,11.231938,25.190948,-34.625244,74.759567,495.093323,-332.000000
2079,5,left,-6.757237,276.347687,-10.179925,Index-Point,-11.352580,302.237000,-67.776344,11.113933,25.013123,-35.175621,72.130356,490.124481,-332.000000
2080,5,left,-6.924425,276.288055,-10.302800,Index-Point,-11.737207,301.973755,-68.654770,10.879303,24.833832,-35.922531,68.018097,484.028595,-332.000000
2081,5,left,-7.226872,276.002045,-10.463058,Index-Point,-12.195101,301.539673,-69.190392,10.721403,24.702881,-36.291252,65.445862,480.429993,-332.000000
